Number,Age,Sibling,Gender,Pair
1,33,8,M,1
8,36,1,M,1
2,32,3,F,2
3,33,2,F,2
4,26,5,M,3
5,32,4,M,3
6,32,7,F,4
7,39,6,F,4
9,30,10,F,5
10,40,9,F,5
11,30,13,M,6
13,21,11,M,6
12,35,14,F,7
14,23,12,F,7
15,30,16,F,8
16,30,15,F,8
17,36,18,M,9
18,40,17,M,9
19,34,20,F,10
20,31,19,F,10
21,25,42,M,11
42,33,21,M,11
22,23,23,M,12
23,19,22,M,12
24,47,25,M,13
25,51,24,M,13
26,60,27,F,14
27,57,26,F,14
28,25,29,M,15
29,23,28,M,15
30,19,41,F,16
41,19,30,F,16
31,28,32,F,17
32,24,31,F,17
33,46,34,F,18
34,43,33,F,18
35,51,36,F,19
36,48,35,F,19
37,20,38,F,20
38,19,37,F,20
39,24,40,F,21
40,22,39,F,21
43,25,44,M,22
44,23,43,M,22
45,34,46.56,F,23
46,28,45.56,F,23
56,30,45.46,F,23
47,35,48,M,24
48,44,47,M,24
49,28,50,F,25
50,23,49,F,25
51,23,100,F,26
100,22,51,F,26
53,22,59.68,F,27
59,33,53.68,F,27
68,31,53.59,F,27
54,26,55,M,28
55,23,54,M,28
57,28,58,F,29
58,35,57,F,29
60,24,61,F,30
61,22,60,F,30
62,25,63,F,31
63,23,62,F,31
64,22,65,F,32
65,22,64,F,32
66,36,67,F,33
67,43,66,F,33
69,20,70,F,34
70,20,69,F,34
71,49,72.73,F,35
72,37,71.73,F,35
73,50,71.72,F,35
74,24,75,F,36
75,22,74,F,36
76,26,77,F,37
77,22,76,F,37
78,29,97,F,38
97,31,78,F,38
79,31,80,F,39
80,27,79,F,39
81,22,82,M,40
82,23,81,M,40
83,27,84,M,41
84,35,83,M,41
85,55,86,F,42
86,51,85,F,42
87,32,88,M,43
88,31,87,M,43
89,22,90,F,44
90,19,89,F,44
91,21,92,F,45
92,22,91,F,45
93,29,94,F,46
94,42,93,F,46
95,20,96,F,47
96,19,95,F,47
98,22,99,F,48
99,19,98,F,48
101,25,102,F,49
102,29,101,F,49
103,28,104,F,50
104,18,103,F,50
105,23,106,M,51
106,25,105,M,51
107,28,108,M,52
108,34,107,M,52
109,19,110,F,53
110,20,109,F,53
111,24,112,F,54
112,26,111,F,54
113,20,114,F,55
114,26,113,F,55
115,20,116,M,56
116,22,115,M,56
117,41,118,F,57
118,52,117,F,57
119,29,124,F,58
124,55,119,F,58
120,43,121,F,59
121,24,120,F,59
122,28,123,F,60
123,32,122,M,60
125,32,126.127,F,61
126,32,125.127,F,61
127,27,125.126,M,61
128,20,129,F,62
129,22,128,F,62
130,33,210,F,63
210,30,130,M,63
131,24,132.133,M,64
132,22,131.133,F,64
133,26,131.132,M,64
134,32,135,M,65
135,31,134,F,65
136,20,137,F,66
137,25,136,F,66
138,25,139,M,67
139,22,138,M,67
140,21,140,F,68
142,20,143,F,69
143,26,142,F,69
144,41,145.158,F,70
145,38,144.158,F,70
158,40,144.145,M,70
146,25,147,F,71
147,35,146,M,71
148,24,149.198,F,72
149,19,148.198,F,72
198,23,148.149,F,72
150,28,151,F,73
151,25,150,F,73
152,49,153,M,74
153,46,152,F,74
154,21,157,F,75
157,24,154,F,75
155,52,156,M,76
156,49,155,M,76
159,22,160,F,77
160,27,159,F,77
161,23,162,M,78
162,22,161,F,78
163,32,164,M,79
164,30,163,F,79
165,22,166,M,80
166,18,165,M,80
167,31,176,M,81
176,36,167,F,81
168,23,169,F,82
169,32,168,F,82
170,31,171,F,83
171,28,170,M,83
172,21,173,F,84
173,23,172,F,84
174,35,175,M,85
175,27,174,F,85
177,21,178,F,86
178,22,177,F,86
179,23,180,F,87
180,24,179,F,87
181,45,182.183,F,88
182,47,181.183,F,88
183,43,181.182,F,88
184,27,185,F,89
185,31,184,F,89
186,27,187,F,90
187,21,186,F,90
188,23,189,F,91
189,30,188,F,91
190,24,191,M,92
191,29,190,M,92
192,27,193,F,93
193,32,192,F,93
194,22,195,M,94
195,20,194,F,94
196,22,197,M,95
197,19,196,F,95
199,22,200,F,96
200,20,199,F,96
201,34,202,F,97
202,20,201,F,97
203,22,204,M,98
204,19,203,M,98
205,33,206.207.213,F,99
206,31,205.207.213,F,99
207,29,205.206.213,M,99
213,35,205.206.207,F,99
208,42,209,F,100
209,40,208,F,100
211,49,212,F,101
212,52,211,M,101
214,22,215,M,102
215,19,214,M,102